"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
222605,876095,"2014-11-03T00:00:00",2015,"Germany","United Nations Development Programme",16540,1086,"Commitment",0,"PAK-15/ER/75514/776","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
222606,1050000,"2014-12-15T00:00:00",2015,"Switzerland","United Nations Development Programme",16540,1086,"Commitment",0,"PAK-15/ER/75514/776","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
225021,5415386,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16540,0,"Paid contribution",0,NA,NA,"Pakistan 2015"
224007,36315,"2015-01-08T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16540,0,"Commitment",0,NA,NA,"Pakistan 2015"
224009,2e+06,"2015-01-22T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16540,1086,"Commitment",0,"PAK-15/S-NF/75788/120","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
224012,5e+06,"2015-01-22T00:00:00",2015,"United States of America","World Food Programme",16540,1086,"Commitment",0,"PAK-15/F/75771/561","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
223898,3e+05,"2015-01-20T00:00:00",2015,"United States of America","Office for the Coordination of Humanitarian Affairs",16540,1086,"Pledge",0,"PAK-15/CSS/76035/119","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
224010,1999830,"2015-01-22T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16540,0,"Commitment",0,NA,NA,"Pakistan 2015"
224011,1.5e+07,"2015-01-22T00:00:00",2015,"United States of America","World Food Programme",16540,1086,"Commitment",0,"PAK-15/F/75771/561","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
224013,1e+07,"2015-01-22T00:00:00",2015,"United States of America","World Food Programme",16540,1086,"Commitment",0,"PAK-15/F/75771/561","Pakistan Humanitarian Strategic Plan 2015","Pakistan 2015"
