"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
224837,5554287,"2015-02-13T00:00:00",2015,"United States of America","World Food Programme",16522,1065,"Commitment",0,"DRC-15/F/78141/R/561","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224932,326087,"2015-02-17T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16522,1065,"Pledge",0,"DRC-15/CSS/78131/R/119","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224445,127779,"2015-02-02T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16522,0,"Commitment",0,NA,NA,"Democratic Republic of the Congo 2015"
224446,530000,"2015-02-02T00:00:00",2015,"United States of America","Agency for Technical Cooperation and Development",16522,1065,"Commitment",0,"DRC-15/F/78138/R/6458","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224447,209100,"2015-02-02T00:00:00",2015,"United States of America","United Nations Children's Fund",16522,1065,"Commitment",0,"DRC-15/H/78139/R/124","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224448,32833100,"2015-02-02T00:00:00",2015,"United States of America","World Food Programme",16522,1065,"Commitment",0,"DRC-15/F/78141/R/561","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224449,1.1e+07,"2015-02-02T00:00:00",2015,"United States of America","World Food Programme",16522,1065,"Commitment",0,"DRC-15/F/78141/R/561","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
224457,329268,"2015-01-30T00:00:00",2015,"Germany","World Vision Germany",16522,1065,"Commitment",0,"DRC-15/MS/78142/R/5489","Democratic Republic of the Congo 2015","Democratic Republic of the Congo 2015"
