"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
224892,490314,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16471,0,"Paid contribution",0,NA,NA,"Ethiopia 2015"
225013,31670478,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16471,0,"Paid contribution",0,NA,NA,"Ethiopia 2015"
224934,326087,"2015-02-17T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16471,0,"Pledge",0,NA,NA,"Ethiopia 2015"
221806,1623377,"2014-10-21T00:00:00",2014,"United Kingdom ","Emergency Response Fund (OCHA)",16471,0,"Pledge",0,NA,NA,"Ethiopia 2015"
223863,156077,"2015-01-21T00:00:00",2015,"United States of America","Desert Locust Control Organization for Eastern Africa",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
204765,542345,"2014-12-08T00:00:00",2015,"United Kingdom ","Office for the Coordination of Humanitarian Affairs",16471,0,"Paid contribution",0,NA,NA,"Ethiopia 2015"
204766,9478673,"2014-12-08T00:00:00",2015,"United Kingdom ","Emergency Response Fund (OCHA)",16471,0,"Paid contribution",0,NA,NA,"Ethiopia 2015"
223864,237950,"2015-01-21T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
224653,440805,"2015-01-16T00:00:00",2015,"Germany","Deutsche Welthungerhilfe e.V. (German Agro Action)",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223921,60000,"2014-09-19T00:00:00",2015,"Qatar","Qatar Red Crescent Society",16471,0,"Paid contribution",0,NA,NA,"Ethiopia 2015"
223865,20077100,"2015-01-21T00:00:00",2015,"United States of America","Catholic Relief Services",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223862,5e+05,"2015-01-21T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223868,38631400,"2015-01-21T00:00:00",2015,"United States of America","World Food Programme",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223870,1302083,"2015-01-21T00:00:00",2015,"United States of America","International Rescue Committee",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223872,1104960,"2015-01-21T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
223875,249992,"2015-01-21T00:00:00",2015,"United States of America","Women And Health Alliance",16471,0,"Commitment",0,NA,NA,"Ethiopia 2015"
