"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
225011,2040816,"2015-02-12T00:00:00",2015,"Germany","CARITAS",16528,1074,"Commitment",0,"UKR-15/ER/78354/R/7133","Ukraine 2015","Ukraine 2015"
224943,9e+05,"2014-11-03T00:00:00",2015,"Norway","International Organization for Migration",16528,1074,"Paid contribution",0,"UKR-15/ER/78306/R/298","Ukraine 2015","Ukraine 2015"
224942,3800000,"2014-12-05T00:00:00",2015,"European Commission","International Organization for Migration",16528,1074,"Paid contribution",0,"UKR-15/ER/78306/R/298","Ukraine 2015","Ukraine 2015"
224940,10400000,"2015-02-18T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16528,1074,"Pledge",0,"UKR-15/P-HR-RL/78196/R/120","Ukraine 2015","Ukraine 2015"
223524,109938,"2015-01-06T00:00:00",2015,"Czech Republic","People in Need ",16528,1074,"Commitment",0,"UKR-15/S-NF/78199/R/6686","Ukraine 2015","Ukraine 2015"
223525,81926,"2015-01-06T00:00:00",2015,"Czech Republic","Czech Red Cross",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
224571,2267574,"2015-02-02T00:00:00",2015,"Belgium","International Committee of the Red Cross",16528,0,"Pledge",0,NA,NA,"Ukraine 2015"
223526,37752,"2015-01-06T00:00:00",2015,"Czech Republic","Czech Evang. Diacony",16528,1074,"Commitment",0,"UKR-15/S-NF/78198/R/16207","Ukraine 2015","Ukraine 2015"
223527,109938,"2015-01-06T00:00:00",2015,"Czech Republic","Adventist Development and Relief Agency ",16528,1074,"Commitment",0,"UKR-15/S-NF/78197/R/6579","Ukraine 2015","Ukraine 2015"
223528,6257822,"2014-12-15T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","UN Agencies, NGOs and/or Red Cross (details not yet provided)",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
223569,1682086,"2014-12-15T00:00:00",2015,"Denmark","International Committee of the Red Cross",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
224465,121951,"2015-01-28T00:00:00",2015,"Italy","International Committee of the Red Cross",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
224879,1133787,"2015-02-13T00:00:00",2015,"Germany","International Committee of the Red Cross",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
224572,163800,"2015-01-26T00:00:00",2015,"Denmark","Danish Refugee Council",16528,1074,"Commitment",0,"UKR-15/P-HR-RL/78195/R/5181","Ukraine 2015","Ukraine 2015"
224573,121951,"2015-01-28T00:00:00",2015,"Italy","United Nations High Commissioner for Refugees",16528,1074,"Commitment",0,"UKR-15/P-HR-RL/78196/R/120","Ukraine 2015","Ukraine 2015"
224157,61958,"2014-12-31T00:00:00",2015,"Estonia","World Health Organization",16528,1074,"Paid contribution",0,"UKR-15/H/78293/R/122","Ukraine 2015","Ukraine 2015"
224100,44575,"2015-01-13T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16528,0,"Commitment",0,NA,NA,"Ukraine 2015"
223896,7e+05,"2015-01-20T00:00:00",2015,"United States of America","Office for the Coordination of Humanitarian Affairs",16528,1074,"Pledge",0,"UKR-15/CSS/77813/R/119","Ukraine 2015","Ukraine 2015"
