"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
222952,10000,"2014-12-15T00:00:00",2015,"Cote d'Ivoire","Central Emergency Response Fund",16527,1072,"Pledge",0,"CERF-15/Pooled Funds","Provision of Central Emergency Response Fund 2015","Miscellaneous 2015"
223088,12212000,"2014-12-23T00:00:00",2015,"Ireland","Central Emergency Response Fund",16527,1072,"Paid contribution",0,"CERF-15/Pooled Funds","Provision of Central Emergency Response Fund 2015","Miscellaneous 2015"
224842,907029,"2015-02-13T00:00:00",2015,"Finland","International Strategy for Disaster Reduction",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
225028,1900000,"2015-02-19T00:00:00",2015,"Japan","Office for the Coordination of Humanitarian Affairs",16527,0,"Pledge",0,NA,NA,"Miscellaneous 2015"
224894,250000,"2015-02-11T00:00:00",2015,"Saudi Arabia (Kingdom of)","Specially Designated Contributions (OCHA)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224888,388802,"2015-02-13T00:00:00",2015,"Australia","International Committee of the Red Cross",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224992,142053,"2015-02-12T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224994,494663,"2015-02-08T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224995,150000,"2015-02-08T00:00:00",2015,"United States of America","International Organization for Migration",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224893,371261,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16527,0,"Paid contribution",0,NA,NA,"Miscellaneous 2015"
225000,123376,"2015-01-26T00:00:00",2015,"United States of America","United Nations Development Programme",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
225001,50000,"2015-01-08T00:00:00",2015,"United States of America","NGOs (details not yet provided)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224927,543478,"2015-02-17T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16527,0,"Pledge",0,NA,NA,"Miscellaneous 2015"
224978,250000,"2015-02-12T00:00:00",2015,"United States of America","Association of Southeast Asian Nations",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224935,1e+05,"2015-01-20T00:00:00",2015,"Allocation of unearmarked funds by WFP","Specially Designated Contributions (OCHA)",16527,0,"Paid contribution",0,NA,NA,"Miscellaneous 2015"
223563,18915511,"2014-11-11T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","Various Recipients (details not yet provided)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
223749,68153656,"2015-01-15T00:00:00",2015,"Netherlands","Central Emergency Response Fund",16527,1072,"Pledge",0,"CERF-15/Pooled Funds","Provision of Central Emergency Response Fund 2015","Miscellaneous 2015"
223750,52298376,"2015-01-15T00:00:00",2015,"Norway","Central Emergency Response Fund",16527,1072,"Pledge",0,"CERF-15/Pooled Funds","Provision of Central Emergency Response Fund 2015","Miscellaneous 2015"
223562,12610340,"2014-11-13T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","Various Recipients (details not yet provided)",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
223751,67540723,"2015-01-15T00:00:00",2015,"Sweden","Central Emergency Response Fund",16527,1072,"Pledge",0,"CERF-15/Pooled Funds","Provision of Central Emergency Response Fund 2015","Miscellaneous 2015"
209093,113250,"2014-05-26T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16527,0,"Commitment",0,NA,NA,"Miscellaneous 2015"
224092,1e+06,"2015-01-27T00:00:00",2015,"Russian Federation","World Food Programme",16527,0,"Pledge",0,NA,NA,"Miscellaneous 2015"
224095,2e+06,"2015-01-27T00:00:00",2015,"Russian Federation","World Food Programme",16527,0,"Pledge",0,NA,NA,"Miscellaneous 2015"
223778,15155374,"2015-01-19T00:00:00",2015,"Sweden","Office for the Coordination of Humanitarian Affairs",16527,0,"Pledge",0,NA,NA,"Miscellaneous 2015"
