"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
224866,122850,"2015-01-27T00:00:00",2015,"Denmark","Save the Children ",16546,1091,"Commitment",0,"SSDRRP-15/MS/77304/6079","South Sudan regional refugee response plan (Ethiopia, Kenya, Uganda components)","South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224676,6400000,"2015-02-09T00:00:00",2015,"Sweden","Various Recipients (details not yet provided)",16546,0,"Pledge",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224677,27150000,"2015-02-09T00:00:00",2015,"Japan","Various Recipients (details not yet provided)",16546,0,"Pledge",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224706,2.8e+07,"2015-02-09T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16546,0,"Pledge",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224685,15300000,"2015-02-09T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","Various Recipients (details not yet provided)",16546,0,"Commitment",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224707,1e+05,"2015-02-09T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16546,0,"Pledge",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224708,16200000,"2015-02-09T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16546,1091,"Pledge",0,"SSDRRP-15/MS/77306/120","South Sudan regional refugee response plan (Ethiopia, Kenya, Uganda components)","South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224709,1e+06,"2015-02-09T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16546,1091,"Pledge",0,"SSDRRP-15/MS/77329/120","South Sudan regional refugee response plan (Ethiopia, Kenya, Uganda components)","South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224710,4500000,"2015-02-09T00:00:00",2015,"United States of America","United Nations High Commissioner for Refugees",16546,1091,"Pledge",0,"SSDRRP-15/MS/77340/120","South Sudan regional refugee response plan (Ethiopia, Kenya, Uganda components)","South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
224112,191034,"2015-01-15T00:00:00",2015,"Sweden","Swedish Red Cross ",16546,0,"Commitment",0,NA,NA,"South Sudan refugee crisis (Kenya, Uganda, Ethiopia)"
