"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
222630,309598,"2014-12-12T00:00:00",2015,"Switzerland","Emergency Response Fund (OCHA)",16520,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
224967,69215,"2015-02-18T00:00:00",2015,"World Food Programme","World Food Programme",16520,1090,"Paid contribution",1,"SRRP-15/MS/76596","Syria regional refugee and resilience plan (3RP) 2015","Syrian Arab Republic - Civil Unrest 2015"
225016,4604184,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
225017,2380622,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
225018,78689746,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
225019,1006868,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
224925,652174,"2015-02-17T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16520,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
225015,6248694,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Emergency Response Fund (OCHA)",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
221724,1251564,"2014-10-21T00:00:00",2015,"Finland","World Health Organization",16520,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
218430,4531722,"2015-02-10T00:00:00",2015,"United Kingdom ","Various Recipients (details not yet provided)",16520,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2015"
