"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
223744,370660,"2015-01-14T00:00:00",2015,"Saudi Arabia (Kingdom of)","Bilateral (affected government)",16550,0,"Paid contribution",0,NA,NA,"Guinea 2015"
224666,632936,"2015-02-04T00:00:00",2015,"Russian Federation","Bilateral (affected government)",16550,0,"Commitment",0,NA,NA,"Guinea 2015"
224090,1500000,"2015-01-27T00:00:00",2015,"Russian Federation","World Food Programme",16550,0,"Pledge",0,NA,NA,"Guinea 2015"
