"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
214646,803847,"2014-07-01T00:00:00",2014,"Norway","Norwegian Refugee Council",16548,983,"Paid contribution",0,"IRQ-14/E/68343/R/5834","Iraq 2014-2015","Iraq 2015"
222569,2550000,"2014-12-12T00:00:00",2014,"Central Emergency Response Fund","United Nations High Commissioner for Refugees",16548,983,"Paid contribution",1,"IRQ-14/S-NF/67821/R/120","Iraq 2014-2015","Iraq 2015"
222571,2549990,"2014-12-12T00:00:00",2014,"Central Emergency Response Fund","International Organization for Migration",16548,983,"Paid contribution",1,"IRQ-14/S-NF/70837/R/298","Iraq 2014-2015","Iraq 2015"
221976,10088272,"2014-11-26T00:00:00",2014,"Germany","United Nations Children's Fund",16548,983,"Commitment",0,"IRQ-14/SNYS/70352/R/124","Iraq 2014-2015","Iraq 2015"
224957,43818,"2014-03-12T00:00:00",2014,"Sweden","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
224958,71101,"2014-05-08T00:00:00",2014,"Private (individuals & organisations)","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
224959,10000,"2014-02-12T00:00:00",2014,"Private (individuals & organisations)","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
216829,2697,"2014-08-08T00:00:00",2014,"Private (individuals & organisations)","United Nations High Commissioner for Refugees",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70350/R/120","Iraq 2014-2015","Iraq 2015"
222621,3138075,"2014-11-01T00:00:00",2014,"Switzerland","United Nations High Commissioner for Refugees",16548,983,"Commitment",0,"IRQ-14/SNYS/70350/R/120","Iraq 2014-2015","Iraq 2015"
222622,1046025,"2014-11-01T00:00:00",2014,"Switzerland","United Nations High Commissioner for Refugees",16548,983,"Commitment",0,"IRQ-14/SNYS/70350/R/120","Iraq 2014-2015","Iraq 2015"
223638,8598452,"2014-12-23T00:00:00",2014,"Canada","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/F/69872/R/561","Iraq 2014-2015","Iraq 2015"
224796,609756,"2015-01-19T00:00:00",2014,"Italy","United Nations Children's Fund",16548,983,"Commitment",0,"IRQ-14/SNYS/70352/R/124","Iraq 2014-2015","Iraq 2015"
222669,4700000,"2014-12-15T00:00:00",2014,"Central Emergency Response Fund","World Food Programme",16548,983,"Paid contribution",1,"IRQ-14/F/69872/R/561","Iraq 2014-2015","Iraq 2015"
223639,1512456,"2014-12-23T00:00:00",2014,"Canada","United Nations Population Fund",16548,983,"Commitment",0,"IRQ-14/P-HR-RL/69855/R/1171","Iraq 2014-2015","Iraq 2015"
222671,401648,"2014-12-15T00:00:00",2014,"Central Emergency Response Fund","Food & Agriculture Organization of the United Nations",16548,983,"Paid contribution",1,"IRQ-14/A/70940/R/123","Iraq 2014-2015","Iraq 2015"
222673,550392,"2014-12-15T00:00:00",2014,"Central Emergency Response Fund","United Nations Children's Fund",16548,983,"Paid contribution",1,"IRQ-14/H/70841/R/124","Iraq 2014-2015","Iraq 2015"
216970,143342,"2014-08-11T00:00:00",2014,"United States of America","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
216971,3e+06,"2014-08-11T00:00:00",2014,"United States of America","International Organization for Migration",16548,983,"Commitment",0,"IRQ-14/SNYS/70354/R/298","Iraq 2014-2015","Iraq 2015"
224984,1500000,"2015-01-26T00:00:00",2015,"United States of America","Action Contre la Faim",16548,983,"Commitment",0,"IRQ-14/WS/71186/R/5186","Iraq 2014-2015","Iraq 2015"
224985,1750000,"2015-01-28T00:00:00",2014,"United States of America","Agency for Technical Cooperation and Development",16548,983,"Commitment",0,"IRQ-14/CSS/71180/R/6458","Iraq 2014-2015","Iraq 2015"
217036,1336898,"2014-08-11T00:00:00",2014,"European Commission's Humanitarian Aid and Civil Protection Department","United Nations High Commissioner for Refugees",16548,983,"Commitment",0,"IRQ-14/SNYS/70350/R/120","Iraq 2014-2015","Iraq 2015"
216972,1e+06,"2014-08-11T00:00:00",2014,"United States of America","United Nations Children's Fund",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70352/R/124","Iraq 2014-2015","Iraq 2015"
224986,1371434,"2014-12-23T00:00:00",2014,"United States of America","Catholic Relief Services",16548,983,"Commitment",0,"IRQ-14/S-NF/71070/R/5146","Iraq 2014-2015","Iraq 2015"
224987,1577613,"2015-01-14T00:00:00",2014,"United States of America","MEDAIR",16548,983,"Commitment",0,"IRQ-14/WS/70805/R/5095","Iraq 2014-2015","Iraq 2015"
224988,1333000,"2014-12-23T00:00:00",2014,"United States of America","Norwegian Refugee Council",16548,983,"Commitment",0,"IRQ-14/S-NF/70815/R/5834","Iraq 2014-2015","Iraq 2015"
224886,2332815,"2015-02-13T00:00:00",2015,"Australia","Plan International",16548,0,"Commitment",0,NA,NA,"Iraq 2015"
224887,4668534,"2015-02-13T00:00:00",2014,"Australia","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/F/69872/R/561","Iraq 2014-2015","Iraq 2015"
224989,1e+06,"2015-01-23T00:00:00",2014,"United States of America","TEARFUND",16548,983,"Commitment",0,"IRQ-14/S-NF/71170/R/5157","Iraq 2014-2015","Iraq 2015"
224924,543478,"2015-02-17T00:00:00",2014,"Switzerland","Office for the Coordination of Humanitarian Affairs",16548,983,"Pledge",0,"IRQ-14/CSS/69882/R/119","Iraq 2014-2015","Iraq 2015"
224955,10057,"2014-02-10T00:00:00",2014,"Private (individuals & organisations)","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
218497,1076233,"2014-08-27T00:00:00",2014,"Denmark","Danish Refugee Council",16548,983,"Commitment",0,"IRQ-14/P-HR-RL/69816/R/5181","Iraq 2014-2015","Iraq 2015"
209009,1800000,"2014-02-13T00:00:00",2014,"Japan","United Nations High Commissioner for Refugees",16548,983,"Paid contribution",0,"IRQ-14/S-NF/67821/R/120","Iraq 2014-2015","Iraq 2015"
218130,92227,"2014-09-05T00:00:00",2014,"Estonia","United Nations High Commissioner for Refugees",16548,983,"Commitment",0,"IRQ-14/P-HR-RL/69870/R/120","Iraq 2014-2015","Iraq 2015"
218131,1470588,"2014-08-13T00:00:00",2014,"Austria","United Nations High Commissioner for Refugees",16548,983,"Commitment",0,"IRQ-14/S-NF/67821/R/120","Iraq 2014-2015","Iraq 2015"
218133,148515,"2014-06-27T00:00:00",2014,"Czech Republic","International Organization for Migration",16548,983,"Commitment",0,"IRQ-14/S-NF/67709/R/298","Iraq 2014-2015","Iraq 2015"
218134,679348,"2014-06-23T00:00:00",2014,"Finland","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
218135,334225,"2014-07-08T00:00:00",2014,"France","World Food Programme",16548,983,"Paid contribution",0,"IRQ-14/SNYS/70351/R/561","Iraq 2014-2015","Iraq 2015"
218127,2989130,"2014-09-05T00:00:00",2014,"European Commission's Humanitarian Aid and Civil Protection Department","Mercy Corps ",16548,983,"Commitment",0,"IRQ-14/S-NF/71131/R/5162","Iraq 2014-2015","Iraq 2015"
